date,transaction_id,description,category,type,amount,balance
22/10/2024,TX00354,Daily Sales Deposit,Sales Revenue,Credit,861,222679
23/10/2024,TX00355,Daily Sales Deposit,Sales Revenue,Credit,958,223637
24/10/2024,TX00356,Daily Sales Deposit,Sales Revenue,Credit,967,224604
25/10/2024,TX00357,Daily Sales Deposit,Sales Revenue,Credit,935,225539
26/10/2024,TX00358,Daily Sales Deposit,Sales Revenue,Credit,921,226460
27/10/2024,TX00359,Daily Sales Deposit,Sales Revenue,Credit,1100,227560
27/10/2024,TX00360,Maintenance Payment,Operating Expense,Debit,402,227158
28/10/2024,TX00361,Daily Sales Deposit,Sales Revenue,Credit,1040,228198
29/10/2024,TX00362,Daily Sales Deposit,Sales Revenue,Credit,774,228972
30/10/2024,TX00363,Daily Sales Deposit,Sales Revenue,Credit,1121,230093
31/10/2024,TX00364,Daily Sales Deposit,Sales Revenue,Credit,925,231018
1/11/2024,TX00365,Daily Sales Deposit,Sales Revenue,Credit,797,231815
2/11/2024,TX00366,Daily Sales Deposit,Sales Revenue,Credit,1034,232849
3/11/2024,TX00367,Daily Sales Deposit,Sales Revenue,Credit,1146,233995
4/11/2024,TX00368,Daily Sales Deposit,Sales Revenue,Credit,948,234943
5/11/2024,TX00369,Daily Sales Deposit,Sales Revenue,Credit,1171,236114
6/11/2024,TX00370,Daily Sales Deposit,Sales Revenue,Credit,729,236843
7/11/2024,TX00371,Daily Sales Deposit,Sales Revenue,Credit,750,237593
8/11/2024,TX00372,Daily Sales Deposit,Sales Revenue,Credit,984,238577
8/11/2024,TX00373,Bakery Payment,COGS,Debit,283,238294
9/11/2024,TX00374,Daily Sales Deposit,Sales Revenue,Credit,1029,239323
10/11/2024,TX00375,Daily Sales Deposit,Sales Revenue,Credit,1039,240362
11/11/2024,TX00376,Daily Sales Deposit,Sales Revenue,Credit,733,241095
12/11/2024,TX00377,Daily Sales Deposit,Sales Revenue,Credit,1149,242244
13/11/2024,TX00378,Daily Sales Deposit,Sales Revenue,Credit,934,243178
14/11/2024,TX00379,Daily Sales Deposit,Sales Revenue,Credit,1158,244336
14/11/2024,TX00380,Utility Bill Payment,Operating Expense,Debit,348,243988
15/11/2024,TX00381,Daily Sales Deposit,Sales Revenue,Credit,1073,245061
16/11/2024,TX00382,Daily Sales Deposit,Sales Revenue,Credit,1087,246148
16/11/2024,TX00383,Bakery Payment,COGS,Debit,283,245865
17/11/2024,TX00384,Daily Sales Deposit,Sales Revenue,Credit,894,246759
18/11/2024,TX00385,Daily Sales Deposit,Sales Revenue,Credit,854,247613
19/11/2024,TX00386,Daily Sales Deposit,Sales Revenue,Credit,1133,248746
20/11/2024,TX00387,Daily Sales Deposit,Sales Revenue,Credit,750,249496
20/11/2024,TX00388,Coffee Supplier Payment,COGS,Debit,104,249392
21/11/2024,TX00389,Daily Sales Deposit,Sales Revenue,Credit,791,250183
22/11/2024,TX00390,Daily Sales Deposit,Sales Revenue,Credit,721,250904
22/11/2024,TX00391,Maintenance Payment,Operating Expense,Debit,100,250804
23/11/2024,TX00392,Daily Sales Deposit,Sales Revenue,Credit,932,251736
24/11/2024,TX00393,Daily Sales Deposit,Sales Revenue,Credit,745,252481
25/11/2024,TX00394,Daily Sales Deposit,Sales Revenue,Credit,777,253258
26/11/2024,TX00395,Daily Sales Deposit,Sales Revenue,Credit,1110,254368
26/11/2024,TX00396,Bakery Payment,COGS,Debit,348,254020
27/11/2024,TX00397,Daily Sales Deposit,Sales Revenue,Credit,913,254933
27/11/2024,TX00398,Utility Bill Payment,Operating Expense,Debit,449,254484
28/11/2024,TX00399,Daily Sales Deposit,Sales Revenue,Credit,1018,255502
29/11/2024,TX00400,Daily Sales Deposit,Sales Revenue,Credit,1036,256538
30/11/2024,TX00401,Daily Sales Deposit,Sales Revenue,Credit,956,257494
30/11/2024,TX00402,Maintenance Payment,Operating Expense,Debit,454,257040
1/12/2024,TX00403,Daily Sales Deposit,Sales Revenue,Credit,879,257919
2/12/2024,TX00404,Daily Sales Deposit,Sales Revenue,Credit,826,258745
3/12/2024,TX00405,Daily Sales Deposit,Sales Revenue,Credit,713,259458
4/12/2024,TX00406,Daily Sales Deposit,Sales Revenue,Credit,1170,260628
5/12/2024,TX00407,Daily Sales Deposit,Sales Revenue,Credit,1085,261713
6/12/2024,TX00408,Daily Sales Deposit,Sales Revenue,Credit,713,262426
6/12/2024,TX00409,Utility Bill Payment,Operating Expense,Debit,470,261956
7/12/2024,TX00410,Daily Sales Deposit,Sales Revenue,Credit,810,262766
8/12/2024,TX00411,Daily Sales Deposit,Sales Revenue,Credit,1062,263828
9/12/2024,TX00412,Daily Sales Deposit,Sales Revenue,Credit,1192,265020
10/12/2024,TX00413,Daily Sales Deposit,Sales Revenue,Credit,993,266013
11/12/2024,TX00414,Daily Sales Deposit,Sales Revenue,Credit,714,266727
11/12/2024,TX00415,Maintenance Payment,Operating Expense,Debit,218,266509
12/12/2024,TX00416,Daily Sales Deposit,Sales Revenue,Credit,727,267236
12/12/2024,TX00417,Coffee Supplier Payment,COGS,Debit,372,266864
13/12/2024,TX00418,Daily Sales Deposit,Sales Revenue,Credit,825,267689
13/12/2024,TX00419,Maintenance Payment,Operating Expense,Debit,244,267445
14/12/2024,TX00420,Daily Sales Deposit,Sales Revenue,Credit,911,268356
15/12/2024,TX00421,Daily Sales Deposit,Sales Revenue,Credit,1093,269449
16/12/2024,TX00422,Daily Sales Deposit,Sales Revenue,Credit,808,270257
17/12/2024,TX00423,Daily Sales Deposit,Sales Revenue,Credit,927,271184
18/12/2024,TX00424,Daily Sales Deposit,Sales Revenue,Credit,733,271917
19/12/2024,TX00425,Daily Sales Deposit,Sales Revenue,Credit,1123,273040
20/12/2024,TX00426,Daily Sales Deposit,Sales Revenue,Credit,782,273822
21/12/2024,TX00427,Daily Sales Deposit,Sales Revenue,Credit,800,274622
22/12/2024,TX00428,Daily Sales Deposit,Sales Revenue,Credit,981,275603
23/12/2024,TX00429,Daily Sales Deposit,Sales Revenue,Credit,1142,276745
24/12/2024,TX00430,Daily Sales Deposit,Sales Revenue,Credit,1064,277809
25/12/2024,TX00431,Daily Sales Deposit,Sales Revenue,Credit,1076,278885
26/12/2024,TX00432,Daily Sales Deposit,Sales Revenue,Credit,849,279734
27/12/2024,TX00433,Daily Sales Deposit,Sales Revenue,Credit,769,280503
28/12/2024,TX00434,Daily Sales Deposit,Sales Revenue,Credit,703,281206
29/12/2024,TX00435,Daily Sales Deposit,Sales Revenue,Credit,1145,282351
30/12/2024,TX00436,Daily Sales Deposit,Sales Revenue,Credit,794,283145
30/12/2024,TX00437,Utility Bill Payment,Operating Expense,Debit,236,282909
31/12/2024,TX00438,Daily Sales Deposit,Sales Revenue,Credit,942,283851
31/12/2024,TX00439,Rent Payment,Operating Expense,Debit,328,283523
1/1/2025,TX00440,Daily Sales Deposit,Sales Revenue,Credit,1107,284630
1/1/2025,TX00441,Rent Payment,Operating Expense,Debit,421,284209
2/1/2025,TX00442,Daily Sales Deposit,Sales Revenue,Credit,919,285128
3/1/2025,TX00443,Daily Sales Deposit,Sales Revenue,Credit,1034,286162
4/1/2025,TX00444,Daily Sales Deposit,Sales Revenue,Credit,1068,287230
5/1/2025,TX00445,Daily Sales Deposit,Sales Revenue,Credit,1185,288415
6/1/2025,TX00446,Daily Sales Deposit,Sales Revenue,Credit,1140,289555
7/1/2025,TX00447,Daily Sales Deposit,Sales Revenue,Credit,902,290457
8/1/2025,TX00448,Daily Sales Deposit,Sales Revenue,Credit,1134,291591
9/1/2025,TX00449,Daily Sales Deposit,Sales Revenue,Credit,832,292423
9/1/2025,TX00450,Rent Payment,Operating Expense,Debit,217,292206
10/1/2025,TX00451,Daily Sales Deposit,Sales Revenue,Credit,974,293180
10/1/2025,TX00452,Bakery Payment,COGS,Debit,119,293061
11/1/2025,TX00453,Daily Sales Deposit,Sales Revenue,Credit,839,293900
11/1/2025,TX00454,Maintenance Payment,Operating Expense,Debit,189,293711
12/1/2025,TX00455,Daily Sales Deposit,Sales Revenue,Credit,1081,294792
12/1/2025,TX00456,Maintenance Payment,Operating Expense,Debit,455,294337
13/1/2025,TX00457,Daily Sales Deposit,Sales Revenue,Credit,1190,295527
14/1/2025,TX00458,Daily Sales Deposit,Sales Revenue,Credit,1089,296616
15/1/2025,TX00459,Daily Sales Deposit,Sales Revenue,Credit,709,297325
16/1/2025,TX00460,Daily Sales Deposit,Sales Revenue,Credit,837,298162
17/1/2025,TX00461,Daily Sales Deposit,Sales Revenue,Credit,712,298874
18/1/2025,TX00462,Daily Sales Deposit,Sales Revenue,Credit,783,299657
19/1/2025,TX00463,Daily Sales Deposit,Sales Revenue,Credit,800,300457
19/1/2025,TX00464,Utility Bill Payment,Operating Expense,Debit,364,300093
20/1/2025,TX00465,Daily Sales Deposit,Sales Revenue,Credit,1098,301191
21/1/2025,TX00466,Daily Sales Deposit,Sales Revenue,Credit,1118,302309
22/1/2025,TX00467,Daily Sales Deposit,Sales Revenue,Credit,1004,303313
23/1/2025,TX00468,Daily Sales Deposit,Sales Revenue,Credit,1143,304456
24/1/2025,TX00469,Daily Sales Deposit,Sales Revenue,Credit,1033,305489
25/1/2025,TX00470,Daily Sales Deposit,Sales Revenue,Credit,1158,306647
26/1/2025,TX00471,Daily Sales Deposit,Sales Revenue,Credit,775,307422
27/1/2025,TX00472,Daily Sales Deposit,Sales Revenue,Credit,700,308122
28/1/2025,TX00473,Daily Sales Deposit,Sales Revenue,Credit,1105,309227
28/1/2025,TX00474,Utility Bill Payment,Operating Expense,Debit,448,308779
29/1/2025,TX00475,Daily Sales Deposit,Sales Revenue,Credit,1060,309839
30/1/2025,TX00476,Daily Sales Deposit,Sales Revenue,Credit,1015,310854
30/1/2025,TX00477,Maintenance Payment,Operating Expense,Debit,312,310542
31/1/2025,TX00478,Daily Sales Deposit,Sales Revenue,Credit,704,311246
1/2/2025,TX00479,Daily Sales Deposit,Sales Revenue,Credit,777,312023
2/2/2025,TX00480,Daily Sales Deposit,Sales Revenue,Credit,831,312854
3/2/2025,TX00481,Daily Sales Deposit,Sales Revenue,Credit,741,313595
4/2/2025,TX00482,Daily Sales Deposit,Sales Revenue,Credit,995,314590
5/2/2025,TX00483,Daily Sales Deposit,Sales Revenue,Credit,803,315393
6/2/2025,TX00484,Daily Sales Deposit,Sales Revenue,Credit,878,316271
7/2/2025,TX00485,Daily Sales Deposit,Sales Revenue,Credit,1052,317323
8/2/2025,TX00486,Daily Sales Deposit,Sales Revenue,Credit,842,318165
9/2/2025,TX00487,Daily Sales Deposit,Sales Revenue,Credit,844,319009
10/2/2025,TX00488,Daily Sales Deposit,Sales Revenue,Credit,1149,320158
11/2/2025,TX00489,Daily Sales Deposit,Sales Revenue,Credit,803,320961
12/2/2025,TX00490,Daily Sales Deposit,Sales Revenue,Credit,738,321699
12/2/2025,TX00491,Utility Bill Payment,Operating Expense,Debit,233,321466
13/2/2025,TX00492,Daily Sales Deposit,Sales Revenue,Credit,1090,322556
14/2/2025,TX00493,Daily Sales Deposit,Sales Revenue,Credit,741,323297
14/2/2025,TX00494,Maintenance Payment,Operating Expense,Debit,114,323183
15/2/2025,TX00495,Daily Sales Deposit,Sales Revenue,Credit,988,324171
16/2/2025,TX00496,Daily Sales Deposit,Sales Revenue,Credit,930,325101
17/2/2025,TX00497,Daily Sales Deposit,Sales Revenue,Credit,856,325957
17/2/2025,TX00498,Maintenance Payment,Operating Expense,Debit,196,325761
18/2/2025,TX00499,Daily Sales Deposit,Sales Revenue,Credit,1184,326945
19/2/2025,TX00500,Daily Sales Deposit,Sales Revenue,Credit,988,327933
19/2/2025,TX00501,Coffee Supplier Payment,COGS,Debit,185,327748
20/2/2025,TX00502,Daily Sales Deposit,Sales Revenue,Credit,709,328457
21/2/2025,TX00503,Daily Sales Deposit,Sales Revenue,Credit,1029,329486
22/2/2025,TX00504,Daily Sales Deposit,Sales Revenue,Credit,993,330479
23/2/2025,TX00505,Daily Sales Deposit,Sales Revenue,Credit,1002,331481
24/2/2025,TX00506,Daily Sales Deposit,Sales Revenue,Credit,915,332396
25/2/2025,TX00507,Daily Sales Deposit,Sales Revenue,Credit,714,333110
26/2/2025,TX00508,Daily Sales Deposit,Sales Revenue,Credit,960,334070
27/2/2025,TX00509,Daily Sales Deposit,Sales Revenue,Credit,1023,335093
28/2/2025,TX00510,Daily Sales Deposit,Sales Revenue,Credit,829,335922
28/2/2025,TX00511,Utility Bill Payment,Operating Expense,Debit,214,335708
1/3/2025,TX00512,Daily Sales Deposit,Sales Revenue,Credit,691,336399
2/3/2025,TX00513,Daily Sales Deposit,Sales Revenue,Credit,682,337081
3/3/2025,TX00514,Daily Sales Deposit,Sales Revenue,Credit,410,337491
4/3/2025,TX00515,Daily Sales Deposit,Sales Revenue,Credit,759,338250
5/3/2025,TX00516,Daily Sales Deposit,Sales Revenue,Credit,599,338849
6/3/2025,TX00517,Daily Sales Deposit,Sales Revenue,Credit,745,339594
7/3/2025,TX00518,Daily Sales Deposit,Sales Revenue,Credit,795,340389
8/3/2025,TX00519,Daily Sales Deposit,Sales Revenue,Credit,503,340892
9/3/2025,TX00520,Daily Sales Deposit,Sales Revenue,Credit,510,341402
10/3/2025,TX00521,Daily Sales Deposit,Sales Revenue,Credit,570,341972
11/3/2025,TX00522,Daily Sales Deposit,Sales Revenue,Credit,755,342727
12/3/2025,TX00523,Daily Sales Deposit,Sales Revenue,Credit,532,343259
13/3/2025,TX00524,Daily Sales Deposit,Sales Revenue,Credit,727,343986
14/3/2025,TX00525,Daily Sales Deposit,Sales Revenue,Credit,491,344477
15/3/2025,TX00526,Daily Sales Deposit,Sales Revenue,Credit,792,345269
16/3/2025,TX00527,Daily Sales Deposit,Sales Revenue,Credit,428,345697
16/3/2025,TX00528,Utility Bill Payment,Operating Expense,Debit,396,345301
17/3/2025,TX00529,Daily Sales Deposit,Sales Revenue,Credit,656,345957
17/3/2025,TX00530,Rent Payment,Operating Expense,Debit,445,345512
18/3/2025,TX00531,Daily Sales Deposit,Sales Revenue,Credit,581,346093
19/3/2025,TX00532,Daily Sales Deposit,Sales Revenue,Credit,400,346493
20/3/2025,TX00533,Daily Sales Deposit,Sales Revenue,Credit,454,346947
21/3/2025,TX00534,Daily Sales Deposit,Sales Revenue,Credit,798,347745
22/3/2025,TX00535,Daily Sales Deposit,Sales Revenue,Credit,708,348453
23/3/2025,TX00536,Daily Sales Deposit,Sales Revenue,Credit,712,349165
23/3/2025,TX00537,Rent Payment,Operating Expense,Debit,390,348775
24/3/2025,TX00538,Daily Sales Deposit,Sales Revenue,Credit,424,349199
25/3/2025,TX00539,Daily Sales Deposit,Sales Revenue,Credit,693,349892
26/3/2025,TX00540,Daily Sales Deposit,Sales Revenue,Credit,609,350501
27/3/2025,TX00541,Daily Sales Deposit,Sales Revenue,Credit,746,351247
28/3/2025,TX00542,Daily Sales Deposit,Sales Revenue,Credit,763,352010
29/3/2025,TX00543,Daily Sales Deposit,Sales Revenue,Credit,581,352591
29/3/2025,TX00544,Maintenance Payment,Operating Expense,Debit,279,352312
30/3/2025,TX00545,Daily Sales Deposit,Sales Revenue,Credit,743,353055
31/3/2025,TX00546,Daily Sales Deposit,Sales Revenue,Credit,684,353739
1/4/2025,TX00547,Daily Sales Deposit,Sales Revenue,Credit,549,354288
2/4/2025,TX00548,Daily Sales Deposit,Sales Revenue,Credit,769,355057
3/4/2025,TX00549,Daily Sales Deposit,Sales Revenue,Credit,736,355793
4/4/2025,TX00550,Daily Sales Deposit,Sales Revenue,Credit,576,356369
5/4/2025,TX00551,Daily Sales Deposit,Sales Revenue,Credit,741,357110
5/4/2025,TX00552,Bakery Payment,COGS,Debit,288,356822
6/4/2025,TX00553,Daily Sales Deposit,Sales Revenue,Credit,726,357548
7/4/2025,TX00554,Daily Sales Deposit,Sales Revenue,Credit,540,358088
8/4/2025,TX00555,Daily Sales Deposit,Sales Revenue,Credit,778,358866
9/4/2025,TX00556,Daily Sales Deposit,Sales Revenue,Credit,717,359583
10/4/2025,TX00557,Daily Sales Deposit,Sales Revenue,Credit,684,360267
11/4/2025,TX00558,Daily Sales Deposit,Sales Revenue,Credit,685,360952
12/4/2025,TX00559,Daily Sales Deposit,Sales Revenue,Credit,418,361370
12/4/2025,TX00560,Utility Bill Payment,Operating Expense,Debit,177,361193
13/4/2025,TX00561,Daily Sales Deposit,Sales Revenue,Credit,574,361767
14/4/2025,TX00562,Daily Sales Deposit,Sales Revenue,Credit,512,362279
15/4/2025,TX00563,Daily Sales Deposit,Sales Revenue,Credit,565,362844
16/4/2025,TX00564,Daily Sales Deposit,Sales Revenue,Credit,531,363375
16/4/2025,TX00565,Utility Bill Payment,Operating Expense,Debit,154,363221
17/4/2025,TX00566,Daily Sales Deposit,Sales Revenue,Credit,687,363908
18/4/2025,TX00567,Daily Sales Deposit,Sales Revenue,Credit,765,364673
19/4/2025,TX00568,Daily Sales Deposit,Sales Revenue,Credit,486,365159
20/4/2025,TX00569,Daily Sales Deposit,Sales Revenue,Credit,687,365846
21/4/2025,TX00570,Daily Sales Deposit,Sales Revenue,Credit,748,366594
22/4/2025,TX00571,Daily Sales Deposit,Sales Revenue,Credit,712,367306
23/4/2025,TX00572,Daily Sales Deposit,Sales Revenue,Credit,654,367960
23/4/2025,TX00573,Bakery Payment,COGS,Debit,153,367807
24/4/2025,TX00574,Daily Sales Deposit,Sales Revenue,Credit,638,368445
25/4/2025,TX00575,Daily Sales Deposit,Sales Revenue,Credit,450,368895
26/4/2025,TX00576,Daily Sales Deposit,Sales Revenue,Credit,663,369558
26/4/2025,TX00577,Utility Bill Payment,Operating Expense,Debit,195,369363
27/4/2025,TX00578,Daily Sales Deposit,Sales Revenue,Credit,799,370162
28/4/2025,TX00579,Daily Sales Deposit,Sales Revenue,Credit,564,370726
28/4/2025,TX00580,Coffee Supplier Payment,COGS,Debit,497,370229
29/4/2025,TX00581,Daily Sales Deposit,Sales Revenue,Credit,406,370635
30/4/2025,TX00582,Daily Sales Deposit,Sales Revenue,Credit,560,371195
1/5/2025,TX00583,Daily Sales Deposit,Sales Revenue,Credit,546,371741
1/5/2025,TX00584,Maintenance Payment,Operating Expense,Debit,135,371606
2/5/2025,TX00585,Daily Sales Deposit,Sales Revenue,Credit,587,372193
3/5/2025,TX00586,Daily Sales Deposit,Sales Revenue,Credit,784,372977
4/5/2025,TX00587,Daily Sales Deposit,Sales Revenue,Credit,410,373387
5/5/2025,TX00588,Daily Sales Deposit,Sales Revenue,Credit,785,374172
6/5/2025,TX00589,Daily Sales Deposit,Sales Revenue,Credit,518,374690
7/5/2025,TX00590,Daily Sales Deposit,Sales Revenue,Credit,660,375350
8/5/2025,TX00591,Daily Sales Deposit,Sales Revenue,Credit,655,376005
9/5/2025,TX00592,Daily Sales Deposit,Sales Revenue,Credit,625,376630
10/5/2025,TX00593,Daily Sales Deposit,Sales Revenue,Credit,754,377384
11/5/2025,TX00594,Daily Sales Deposit,Sales Revenue,Credit,741,378125
12/5/2025,TX00595,Daily Sales Deposit,Sales Revenue,Credit,480,378605
13/5/2025,TX00596,Daily Sales Deposit,Sales Revenue,Credit,519,379124
14/5/2025,TX00597,Daily Sales Deposit,Sales Revenue,Credit,614,379738
15/5/2025,TX00598,Daily Sales Deposit,Sales Revenue,Credit,608,380346
16/5/2025,TX00599,Daily Sales Deposit,Sales Revenue,Credit,608,380954
17/5/2025,TX00600,Daily Sales Deposit,Sales Revenue,Credit,439,381393
18/5/2025,TX00601,Daily Sales Deposit,Sales Revenue,Credit,680,382073
19/5/2025,TX00602,Daily Sales Deposit,Sales Revenue,Credit,645,382718
20/5/2025,TX00603,Daily Sales Deposit,Sales Revenue,Credit,403,383121
20/5/2025,TX00604,Maintenance Payment,Operating Expense,Debit,128,382993
21/5/2025,TX00605,Daily Sales Deposit,Sales Revenue,Credit,497,383490
22/5/2025,TX00606,Daily Sales Deposit,Sales Revenue,Credit,474,383964
23/5/2025,TX00607,Daily Sales Deposit,Sales Revenue,Credit,527,384491
23/5/2025,TX00608,Bakery Payment,COGS,Debit,455,384036
24/5/2025,TX00609,Daily Sales Deposit,Sales Revenue,Credit,433,384469
25/5/2025,TX00610,Daily Sales Deposit,Sales Revenue,Credit,552,385021
26/5/2025,TX00611,Daily Sales Deposit,Sales Revenue,Credit,475,385496
27/5/2025,TX00612,Daily Sales Deposit,Sales Revenue,Credit,761,386257
27/5/2025,TX00613,Bakery Payment,COGS,Debit,126,386131
28/5/2025,TX00614,Daily Sales Deposit,Sales Revenue,Credit,686,386817
29/5/2025,TX00615,Daily Sales Deposit,Sales Revenue,Credit,567,387384
30/5/2025,TX00616,Daily Sales Deposit,Sales Revenue,Credit,636,388020
31/5/2025,TX00617,Daily Sales Deposit,Sales Revenue,Credit,793,388813
1/6/2025,TX00618,Daily Sales Deposit,Sales Revenue,Credit,589,389402
2/6/2025,TX00619,Daily Sales Deposit,Sales Revenue,Credit,463,389865
3/6/2025,TX00620,Daily Sales Deposit,Sales Revenue,Credit,709,390574
4/6/2025,TX00621,Daily Sales Deposit,Sales Revenue,Credit,706,391280
4/6/2025,TX00622,Coffee Supplier Payment,COGS,Debit,470,390810
5/6/2025,TX00623,Daily Sales Deposit,Sales Revenue,Credit,428,391238
6/6/2025,TX00624,Daily Sales Deposit,Sales Revenue,Credit,695,391933
7/6/2025,TX00625,Daily Sales Deposit,Sales Revenue,Credit,563,392496
8/6/2025,TX00626,Daily Sales Deposit,Sales Revenue,Credit,694,393190
9/6/2025,TX00627,Daily Sales Deposit,Sales Revenue,Credit,709,393899
10/6/2025,TX00628,Daily Sales Deposit,Sales Revenue,Credit,510,394409
11/6/2025,TX00629,Daily Sales Deposit,Sales Revenue,Credit,468,394877
12/6/2025,TX00630,Daily Sales Deposit,Sales Revenue,Credit,649,395526
12/6/2025,TX00631,Utility Bill Payment,Operating Expense,Debit,247,395279
13/6/2025,TX00632,Daily Sales Deposit,Sales Revenue,Credit,626,395905
14/6/2025,TX00633,Daily Sales Deposit,Sales Revenue,Credit,736,396641
15/6/2025,TX00634,Daily Sales Deposit,Sales Revenue,Credit,764,397405
15/6/2025,TX00635,Coffee Supplier Payment,COGS,Debit,300,397105
16/6/2025,TX00636,Daily Sales Deposit,Sales Revenue,Credit,472,397577
16/6/2025,TX00637,Bakery Payment,COGS,Debit,116,397461
17/6/2025,TX00638,Daily Sales Deposit,Sales Revenue,Credit,616,398077
18/6/2025,TX00639,Daily Sales Deposit,Sales Revenue,Credit,503,398580
19/6/2025,TX00640,Daily Sales Deposit,Sales Revenue,Credit,438,399018
19/6/2025,TX00641,Rent Payment,Operating Expense,Debit,328,398690
20/6/2025,TX00642,Daily Sales Deposit,Sales Revenue,Credit,571,399261
21/6/2025,TX00643,Daily Sales Deposit,Sales Revenue,Credit,501,399762
22/6/2025,TX00644,Daily Sales Deposit,Sales Revenue,Credit,674,400436
23/6/2025,TX00645,Daily Sales Deposit,Sales Revenue,Credit,704,401140
23/6/2025,TX00646,Bakery Payment,COGS,Debit,429,400711
24/6/2025,TX00647,Daily Sales Deposit,Sales Revenue,Credit,710,401421
25/6/2025,TX00648,Daily Sales Deposit,Sales Revenue,Credit,411,401832
26/6/2025,TX00649,Daily Sales Deposit,Sales Revenue,Credit,615,402447
27/6/2025,TX00650,Daily Sales Deposit,Sales Revenue,Credit,548,402995
28/6/2025,TX00651,Daily Sales Deposit,Sales Revenue,Credit,773,403768
29/6/2025,TX00652,Daily Sales Deposit,Sales Revenue,Credit,599,404367
30/6/2025,TX00653,Daily Sales Deposit,Sales Revenue,Credit,488,404855
1/7/2025,TX00654,Daily Sales Deposit,Sales Revenue,Credit,558,405413
2/7/2025,TX00655,Daily Sales Deposit,Sales Revenue,Credit,864,406277
3/7/2025,TX00656,Daily Sales Deposit,Sales Revenue,Credit,787,407064
4/7/2025,TX00657,Daily Sales Deposit,Sales Revenue,Credit,698,407762
5/7/2025,TX00658,Daily Sales Deposit,Sales Revenue,Credit,781,408543
6/7/2025,TX00659,Daily Sales Deposit,Sales Revenue,Credit,749,409292
7/7/2025,TX00660,Daily Sales Deposit,Sales Revenue,Credit,834,410126
8/7/2025,TX00661,Daily Sales Deposit,Sales Revenue,Credit,636,410762
8/7/2025,TX00662,Coffee Supplier Payment,COGS,Debit,427,410335
9/7/2025,TX00663,Daily Sales Deposit,Sales Revenue,Credit,814,411149
10/7/2025,TX00664,Daily Sales Deposit,Sales Revenue,Credit,581,411730
11/7/2025,TX00665,Daily Sales Deposit,Sales Revenue,Credit,871,412601
12/7/2025,TX00666,Daily Sales Deposit,Sales Revenue,Credit,901,413502
13/7/2025,TX00667,Daily Sales Deposit,Sales Revenue,Credit,602,414104
13/7/2025,TX00668,Utility Bill Payment,Operating Expense,Debit,258,413846
14/7/2025,TX00669,Daily Sales Deposit,Sales Revenue,Credit,607,414453
14/7/2025,TX00670,Utility Bill Payment,Operating Expense,Debit,197,414256
15/7/2025,TX00671,Daily Sales Deposit,Sales Revenue,Credit,792,415048
16/7/2025,TX00672,Daily Sales Deposit,Sales Revenue,Credit,973,416021
17/7/2025,TX00673,Daily Sales Deposit,Sales Revenue,Credit,863,416884
18/7/2025,TX00674,Daily Sales Deposit,Sales Revenue,Credit,875,417759
19/7/2025,TX00675,Daily Sales Deposit,Sales Revenue,Credit,848,418607
20/7/2025,TX00676,Daily Sales Deposit,Sales Revenue,Credit,896,419503
21/7/2025,TX00677,Daily Sales Deposit,Sales Revenue,Credit,515,420018
22/7/2025,TX00678,Daily Sales Deposit,Sales Revenue,Credit,607,420625
23/7/2025,TX00679,Daily Sales Deposit,Sales Revenue,Credit,810,421435
24/7/2025,TX00680,Daily Sales Deposit,Sales Revenue,Credit,533,421968
24/7/2025,TX00681,Maintenance Payment,Operating Expense,Debit,346,421622
25/7/2025,TX00682,Daily Sales Deposit,Sales Revenue,Credit,640,422262
26/7/2025,TX00683,Daily Sales Deposit,Sales Revenue,Credit,595,422857
27/7/2025,TX00684,Daily Sales Deposit,Sales Revenue,Credit,538,423395
27/7/2025,TX00685,Bakery Payment,COGS,Debit,128,423267
28/7/2025,TX00686,Daily Sales Deposit,Sales Revenue,Credit,976,424243
28/7/2025,TX00687,Bakery Payment,COGS,Debit,335,423908
29/7/2025,TX00688,Daily Sales Deposit,Sales Revenue,Credit,771,424679
30/7/2025,TX00689,Daily Sales Deposit,Sales Revenue,Credit,738,425417
31/7/2025,TX00690,Daily Sales Deposit,Sales Revenue,Credit,913,426330
1/8/2025,TX00691,Daily Sales Deposit,Sales Revenue,Credit,858,427188
2/8/2025,TX00692,Daily Sales Deposit,Sales Revenue,Credit,564,427752
3/8/2025,TX00693,Daily Sales Deposit,Sales Revenue,Credit,502,428254
4/8/2025,TX00694,Daily Sales Deposit,Sales Revenue,Credit,875,429129
5/8/2025,TX00695,Daily Sales Deposit,Sales Revenue,Credit,823,429952
6/8/2025,TX00696,Daily Sales Deposit,Sales Revenue,Credit,792,430744
6/8/2025,TX00697,Maintenance Payment,Operating Expense,Debit,292,430452
7/8/2025,TX00698,Daily Sales Deposit,Sales Revenue,Credit,993,431445
7/8/2025,TX00699,Bakery Payment,COGS,Debit,498,430947
8/8/2025,TX00700,Daily Sales Deposit,Sales Revenue,Credit,876,431823
9/8/2025,TX00701,Daily Sales Deposit,Sales Revenue,Credit,639,432462
10/8/2025,TX00702,Daily Sales Deposit,Sales Revenue,Credit,792,433254
11/8/2025,TX00703,Daily Sales Deposit,Sales Revenue,Credit,926,434180
12/8/2025,TX00704,Daily Sales Deposit,Sales Revenue,Credit,794,434974
13/8/2025,TX00705,Daily Sales Deposit,Sales Revenue,Credit,801,435775
14/8/2025,TX00706,Daily Sales Deposit,Sales Revenue,Credit,561,436336
